# Transformacje\ Projekt wykonany przez: And¿elika Bañkowska, Nikola Bobik, Alicja Dymowska 
#  Wyniki podawane sa zgodnie z kolejnoscia okreœlon¹ w pliku opisowym do kodu, oddzielone przecinkiem
3664940.500006 , 1409153.590002 , 5009571.170008
3664940.510006 , 1409153.580002 , 5009571.167008
3664940.520006 , 1409153.570002 , 5009571.167008
3664940.530006 , 1409153.560002 , 5009571.168008
3664940.520006 , 1409153.590002 , 5009571.170008
3664940.514006 , 1409153.584002 , 5009571.166008
3664940.525006 , 1409153.575002 , 5009571.166008
3664940.533006 , 1409153.564002 , 5009571.169008
3664940.515006 , 1409153.590002 , 5009571.170008
3664940.514006 , 1409153.584002 , 5009571.169008
3664940.515006 , 1409153.595002 , 5009571.169008
3664940.513006 , 1409153.584002 , 5009571.171008
