# Transformacje\ Projekt wykonany przez: And¿elika Bañkowska, Nikola Bobik, Alicja Dymowska 
#  Wyniki podawane sa zgodnie z kolejnoscia okreœlon¹ w pliku opisowym do kodu, oddzielone przecinkiem
0.909269 , 0.367070 , 141.398662
0.909269 , 0.367070 , 141.399825
0.909269 , 0.367069 , 141.403354
0.909269 , 0.367069 , 141.407672
0.909269 , 0.367070 , 141.410130
0.909269 , 0.367070 , 141.402211
0.909269 , 0.367069 , 141.406534
0.909269 , 0.367069 , 141.411063
0.909269 , 0.367070 , 141.407263
0.909269 , 0.367070 , 141.404578
0.909269 , 0.367070 , 141.407577
0.909269 , 0.367070 , 141.405583
