# Transformacje\ Projekt wykonany przez: And¿elika Bañkowska, Nikola Bobik, Alicja Dymowska 
#  Wyniki podawane sa zgodnie z kolejnoscia okreœlon¹ w pliku opisowym do kodu, oddzielone przecinkiem
5773722.720952 , 7502160.783244
5773722.714570 , 7502160.770326
5773722.710032 , 7502160.757406
5773722.706108 , 7502160.744487
5773722.706220 , 7502160.776074
5773722.709879 , 7502160.772626
5773722.704321 , 7502160.760281
5773722.703382 , 7502160.747144
5773722.709903 , 7502160.777866
5773722.711722 , 7502160.772625
5773722.707875 , 7502160.782534
5773722.713687 , 7502160.772983
